Youtube Comments,Video ID
"This lady is lying, omicron cases are mild for both vaccinated and unvaccinated",MW07U0t9AQU
Love how she pronounces Omnikron its like that wimpy ad I love it when you talk foreign :face_with_tears_of_joy::face_with_tears_of_joy:,MW07U0t9AQU
Yummy lady....:smiling_face_with_hearteyes::smiling_face_with_hearts:,MW07U0t9AQU
"Hopefully this will be the final wave ,because it seems to be phasing out",MW07U0t9AQU
"Realy! The PROBLEM Is! There is people's that is fully vaccinated, and tested positive and then  Walking AROUND IN STORES, NO BOOSTER SHOTS,REALY!",MW07U0t9AQU
The unvaccinated also don’t get very sick. Be more open and honest and people will not fear the vaccines. Don’t say vaccine is helping for severity if the severity is lowers all around.,MW07U0t9AQU
More fake news :face_vomiting::face_with_rolling_eyes:,MW07U0t9AQU
Discovery says 0 vaccine deaths. My data says otherwise.,MW07U0t9AQU
Behavioural manipulation. Discovery=China,MW07U0t9AQU
33% what a joke....,MW07U0t9AQU
"We're being given conflicting reports every 5 minutes. These are news headlines right now, one says this and the other says that so who are we to believe? (1) A new study has found that the Omicron virus could evade both vaccine antibodies and immunity caused by infection with all the other known variants of SARSCoV2.;;The study published in Emerging Microbes & Infection looked at the Omicron variant's potential of bypassing existing immunity developed through natural infection or by mass vaccination. (2) A study done by the South African Medical Research Council and Discovery Health has shown that two shots of the Pfizer vaccine, while faltering in protecting people from infection with the Omicron variant of the coronavirus, still offered solid protection against severe disease.",MW07U0t9AQU
"I wish we would give up this obsession with Omicron ...... already the world seems to think we invented it and have banned the socks off of us. ;It exists  done. ;As if it is the one thing we are so proud of ???? ;;Hell, we are so keen to show the world how clever we are as South Africans  when we have other issues at hand. ;;Our police force is falling apart, we cant generate power properly, hell, we cant even convict fraudsters  our employment is low, inflation is high  Frankly, I am surprised nobody has stolen or murdered old Omicron yet. I wish they would and we can move on along :(",MW07U0t9AQU
How do they know if you have Delta or Omicron. Not all people lost their taste or smell when they had Delta like you said thats basically the only difference between the 2 viruses.,MW07U0t9AQU
"You cannot simply say ""mostly unvaccinated are hospitalised"" because in south africa, the majority are unvaccinated. Please start reporting honestly.",MW07U0t9AQU
But this is bull. There is none unvaxxed people in hospitals in Western Cape. Pffft,MW07U0t9AQU
SA must make its own vaccine for Omicron,MW07U0t9AQU
Discovery and other minions of this farce can go to hell,MW07U0t9AQU
Flu.,MW07U0t9AQU
"I’m a conspiracy theorist I’m here to help ,report this video .",MW07U0t9AQU
wow she isn't wearing a mask whilst on camera well done you not a dumbass today,MW07U0t9AQU
"eNCA, if your journalists can’t yet see what is happening with the wealth of information out there then I’m afraid their journalistic skills are sub par. Do the right thing and resist the needles.",MW07U0t9AQU
Can we just get politics out of health issues please?,MW07U0t9AQU
"Funny that I didn't get covid when I was not vaxed...as soon as I got vaxed, different story.",MW07U0t9AQU
Solid reporting. Tired of all these antivax comments though. Quite disheartening.,MW07U0t9AQU
I have emailed Discovery with a question more than a week ago and have received no response. When I phoned them 2 weeks ago their vaccine division told me they didn't know the answer and said I must ask my doctor. They a disgrace.,MW07U0t9AQU
My friend's daughter just contracted Covid19 last week. They didnt even bother to test her for the variant so where are they getting their Omicron statistics from if they are not differentiating with the testing?,MW07U0t9AQU
What is very discouraging is that Discovery is requiring boosters for coverage but they will not simply authorise the boosters and the clinics are requiring doctors to sign off,MW07U0t9AQU
